Name,Jobs,Defense,Evasion,Weight,Cost,Armor Type,Acquisition,Effect,Description,Alternative Name,Buy,Find,Drop,Bonus Content,Cost (Easy),Cost (Normal)
Aegis Shield,Kn,16,0,0,N/A,Sheilds,,"Resistance: Poison, Stone.",A shield that guards against stone and poison.,,,Mirage Tower,,False,N/A,N/A
Angel's Ring,"RM, RW, WM, WW, BM, BW",8,0,1,N/A,Gloves,,No Effect,Ring fashioned after an angel's feather.,,,,,True,N/A,N/A
Bard's Tunic,"Wa, Kn, Th, Ni, RM, RW, BM, BW, Mo, Ma",20,0,3,"67,300 gil",Body Armor,"Buy: Whisperwind Cove (B1-B9 Town) Find: Hellfire Chasm, Whisperwind Cove Drop: 2-Headed Dragon",Resistance: Silence.,"A light, loose-fitting tunic.",,Whisperwind Cove (B1-B9 Town),"Hellfire Chasm, Whisperwind Cove",2-Headed Dragon,True,"67,300 gil","67,300 gil"
Black Cowl,"Th, Ni",8,10,1,N/A,Helmet,,"Resistance: Sleep. +3 Strength, Agility, & Stamina.",Black hood brought from a distant land.,,,"Earthgift Shrine, Whisperwind Cove",,True,N/A,N/A
Black Garb,"Th, Ni",40,0,2,N/A,Body Armor,Find: Whisperwind Cove (x2),"+1 Strength, +10 Agility.","Light, durable suit from a distant land.",,,Whisperwind Cove (x2),,True,N/A,N/A
Black Robe,BW,24,0,2,"25,000 gil",Body Armor,Buy: Whisperwind Cove (Mage Town) Find: Flying Fortress,"Resistance: Ice, Time. Casts Blizzara when used as an item.",A robe that guards against ice and time irregularities; casts Blizzara when used.,,Whisperwind Cove (Mage Town),Flying Fortress,,True,"25,000 gil","25,000 gil"
Bronze Gloves ,"Wa, Kn, Ni",2,0,3,160 gil (Easy) 200 gil (Normal),Gloves,,No Effect,Gloves made of bronze.,Copper,Melmond,Elven Castle (Mystic Key),,False,160 gil,200 gil
Buckler,"Wa, Kn, Th, Ni, RM, RW",2,0,0,"2,000 gil (Easy) 2,500 gil (Normal)",Sheilds,,No Effect,A small shield.,,Crescent Lake,,,False,"2,000 gil","2,500 gil"
Chain Mail,"Wa, Kn, Ni, RM, RW",15,0,15,65 gil (Easy) 80 gil (Normal),Body Armor,"Buy: Cornelia, Pravoka",No Effect,Mail of interwoven chain links.,,"Cornelia, Pravoka",,,False,65 gil,80 gil
Clothes,"Wa, Kn, Th, Ni, RM, RW, BM, BW, Mo, Ma",1,0,2,8 gil (Easy) 10 gil (Normal),Body Armor,"Buy: Cornelia Find: Cavern of Ice, Flying Fortress",No Effect,Ordinary clothing.,,Cornelia,"Cavern of Ice, Flying Fortress",,False,8 gil,10 gil
Copper Armlet,"Wa, Kn, Th, Ni, RM, RW, BM, BW, Mo, Ma",4,0,1,"800 gil (Easy) 1,000 gil (Normal)",Body Armor,Buy: Elfheim Find: Marsh Cave,No Effect,An armlet crafted from copper.,,Elfheim,Marsh Cave,,False,800 gil,"1,000 gil"
Crystal Gloves,"Kn, Ni",10,15,3,N/A,Gloves,,Resistance: Stone. +3 Intelligence.,"Gloves of crystal, crafted long ago.",,,Whisperwind Cove,,True,N/A,N/A
Crystal Helm,"Kn, Ni",10,15,3,N/A,Helmet,,Resistance: Stone. +3 Intelligence.,"A helm of crystal, crafted long ago.",,,Whisperwind Cove,,True,N/A,N/A
Crystal Mail,"Kn, Ni",44,0,10,N/A,Body Armor,Find: Whisperwind Cove,"Resistance: Blind, Silence, Stone. +3 Intelligence.","Mail of crystal, crafted long ago.",,,Whisperwind Cove,,True,N/A,N/A
Crystal Ring,"Kn, Ni, Ma, RW",9,0,1,N/A,Gloves,,"Resistance: Sleep, Paralysis. +5 Agility.","A ring of crystal, crafted long ago.",,,Lifespring Grotto (x2),,True,N/A,N/A
Crystal Shield,"Kn, Ni",15,45,0,N/A,Sheilds,,Resistance: Stone.,"A shield of crystal, crafted long ago.",,,"Lifespring Grotto, Whisperwind Cove",,True,N/A,N/A
Diamond Armlet ,"Wa, Kn, Th, Ni, RM, RW, BM, BW, Mo, Ma",34,0,1,N/A,Body Armor,Find: Sunken Shrine,No Effect,An armlet adorned with diamonds.,Opal,,Sunken Shrine,,False,N/A,N/A
Diamond Armor ,Kn,42,0,10,N/A,Body Armor,Find: Sunken Shrine,Resistance: Lightning.,Armor crafted from diamond that guards against lightning.,Opal,,Sunken Shrine,,False,N/A,N/A
Diamond Gloves ,Kn,8,0,3,N/A,Gloves,,No Effect,Gloves made of diamond.,Opal,,"Sunken Shrine, Flying Fortress",,False,N/A,N/A
Diamond Helm ,Kn,8,0,3,N/A,Helmet,,No Effect,A helm made of diamond.,Opal,,Sunken Shrine,,False,N/A,N/A
Diamond Shield ,Kn,16,0,0,N/A,Sheilds,,Resistance: Lightning.,A shield made of diamond that guards against lightning.,Opal,,"Sunken Shrine, Flying Fortress",,False,N/A,N/A
Dragon Mail,Kn,42,0,10,N/A,Body Armor,Find: Mirage Tower,"Resistance: Fire, Ice, Lightning.",Mail fashioned from dragon scales that guards against fire and ice.,,,Mirage Tower,,False,N/A,N/A
Elven Cloak,"Wa, Kn, Th, Ni, RM, RW, BM, BW",9,0,1,"55,800 gil",Sheilds,,+1 Agility & Intelligence.,A cloak enchanted with elven magic.,,Whisperwind Cove (B31-B39 Town),"Earthgift Shrine, Whisperwind Cove",,True,"55,800 gil","55,800 gil"
Feathered Cap,"Wa, Kn, Th, Ni, RM, RW",4,10,1,N/A,Helmet,,No Effect,A light cap woven of silk.,,,Lifespring Grotto,,True,N/A,N/A
Flame Mail,"Wa, Kn, Ni",34,0,10,N/A,Body Armor,Find: Mount Gulg,Resistance: Ice.,Mail infused with the power of fire that guards against ice.,,,Mount Gulg,,False,N/A,N/A
Flame Shield,"Wa, Kn, Ni",12,0,0,N/A,Sheilds,,Resistance: Ice.,A shield imbued with the power of fire that guards against ice.,,,Mount Gulg,,False,N/A,N/A
Gaia Gear,"BM, BW",35,0,2,N/A,Body Armor,Find: Lifespring Grotto Drop: Undergrounder,"Resistance: Quake, Stone.",A robe instilled with the earth's grace.,,,Lifespring Grotto,Undergrounder,True,N/A,N/A
Gauntlets ,"Kn, Ni, RW",6,0,3,"15,000 gil",Gloves,,Casts Thundara when used as an item.,Gloves that cast Thundara when used.,Zeus,Whisperwind Cove (Mage Town),Citadel of Trials,,True,"15,000 gil","15,000 gil"
Genji Armor,"Wa, Kn, Ni",35,0,10,N/A,Body Armor,Find: Whisperwind Cove Drop: Warmech,"Resistance: Poison, Stone, Death. +5 Strength, +3 Agility & Intelligence, +2 Stamina.",Heavy armor crafted in a distant land.,,,Whisperwind Cove,Warmech,True,N/A,N/A
