Name,Alternative Name,Weapon Type,Jobs,Atk,Acc,Crit,Description,Effect,Buy,Find,Drop,Cost,Cost (Easy),Cost (Normal),Bonus Content
Assassin Dagger,N/A,Daggers,"Wa, Kn, Th, Ni, RM, RW, BW",30,40,35,A dagger that casts Kill when used.,"Casts Kill when used as an item. +10 Evasion, +3 Agility, +2 Intelligence.",N/A,Whisperwind Cove,N/A,N/A,N/A,N/A,True
Asura,N/A,Katanas,"Wa, Kn, Th, Ni, RM, RW",25,25,25,A sword whose name embodies battle.,No Effect,N/A,Lifespring Grotto (B15),Pharaoh,N/A,N/A,N/A,True
Barbarian's Sword,N/A,Swords,"Wa, Kn, RM, RW",125,20,30,A sturdy sword with a wide blade.,"+18 Strength, +13 Stamina.",N/A,N/A,Chronodia (Four Fiends and Chaos with many weapons),N/A,N/A,N/A,True
Battle Axe ,Hand,Axes,"Wa, Kn, Ni",16,5,7,An axe made for battle.,No Effect,Pravoka,N/A,N/A,450 (Easy) 550 (Normal),450,550,False
Braveheart,N/A,Swords,"Wa, Kn, Ni",30,52,28,A sword that casts Confuse when used.,Casts Confuse when used as an item.,N/A,N/A,"Barbariccia, Yamatano Orochi",N/A,N/A,N/A,True
Broadsword ,Short,Swords,"Wa, Kn, Ni, RM, RW",15,10,6,"Sword with a wide, double-edged blade.",No Effect,Pravoka,Marsh Cave,N/A,450 (Easy) 550 (Normal),450,550,False
Cat Claws ,CatClaw,Daggers,"Kn, Ni, RW, BW",22,35,35,A weapon with razor-sharp blades.,No Effect,Gaia,N/A,N/A,"52,000 (Easy) 65,000 (Normal)","52,000","65,000",False
Coral Sword,N/A,Swords,"Wa, Kn, Th, Ni, RM, RW",19,15,25,A sword that is effective against aquatic enemies.,Strong vs Aquatic enemies.,N/A,Cavern of Earth,N/A,N/A,N/A,N/A,False
Crosier ,Iron,Staves,"Wa, Kn, Ni, Mo, Ma",14,0,11,A staff topped with an iron ring.,No Effect,"Elfheim, Melmond",Castle Cornelia (Mystic Key),Wraith,160 (Easy) 200 (Normal),160,200,False
Dagger ,Large,Daggers,"Wa, Kn, Th, Ni, RM, RW, BM, BW",7,10,10,A large knife.,No Effect,Elfheim,Marsh Cave,N/A,140 (Easy) 175 (Normal),140,175,False
Dark Claymore,N/A,Swords,"Wa, Kn",40,5,30,A sword with a shimmering black blade.,No Effect,N/A,Whisperwind Cove,Mythril Golem,N/A,N/A,N/A,True
Deathbringer,N/A,Swords,RW,33,20,29,A sword that casts Death when used.,"Casts Death when used as an item. +5 Strength, Agility, Intelligence & Stamina.",N/A,Lifespring Grotto,"Black Knight, Reaper",N/A,N/A,N/A,True
Defender ,Defense,Swords,"Kn, Ni, RW",30,35,32,A sword that casts Blink when used.,Casts Blink when used as an item.,N/A,Waterfall Cavern,N/A,N/A,N/A,N/A,False
Duel Rapier,N/A,Swords,"Wa, Kn, Th, Ni, RM, RW",27,30,26,A rapier refined for battle.,+80 Evasion.,Whisperwind Cove (B1-B9 Town),Whisperwind Cove,N/A,75900,75900,75900,True
Enhancer,N/A,Swords,"Wa, Kn, Ni, RM, RW",28,25,18,An unusual rapier infused with magic.,+7 Intelligence.,N/A,Whisperwind Cove,Duel Knight,N/A,N/A,N/A,True
Excalibur ,Xcalber,Swords,Kn,45,35,39,A sword crafted from a legendary metal; effective against all types of enemies.,Strong vs all elemental weaknesses and enemy types.,N/A,N/A,N/A,N/A,N/A,N/A,False
Falchion ,Falchon,Katanas,"Wa, Kn, Th, Ni, RM, RW",15,10,15,A sword that widens toward its tip.,No Effect,Melmond,Western Keep (Mystic Key),N/A,360 (Easy) 450 (Normal),360,450,False
Flame Sword,N/A,Swords,"Wa, Kn, Ni, RM, RW",26,20,20,A sword imbued with the power of fire.,Fire-elemental. Strong vs Undead and Regenerative enemies pre-Pixel Remaster.,N/A,Cavern of Ice,N/A,N/A,N/A,N/A,False
Gigantaxe,N/A,Axes,"Wa, Kn, Ni",42,0,26,An axe boasting superb attack power.,"+4 Strength, -4 Intelligence.",N/A,Lifespring Grotto,N/A,N/A,N/A,N/A,True
Gladius,N/A,Daggers,"Wa, Kn, Th, Ni, RM, RW, BM, BW",23,30,26,A dagger crafted to be feather-light.,+10 Evasion.,Whisperwind Cove (B1-B9 Town),Whisperwind Cove (x2),N/A,73900,73900,73900,True
